dorsal	mu_p	mu_b	total	name	label
1006	3323	1481	4804	BEBB	0
1011	3390	1466	4856	BEBB	0
1016	3420	1643	5063	BEBB	0
1022	3328	1509	4837	BEBB	0
1024	3394	1536	4930	BEBB	0
1025	3446	1674	5120	BEBB	0
1026	3464	1483	4947	BEBB	0
1035	3416	1598	5014	BEBB	0
1036	3340	1518	4858	BEBB	0
1040	3366	1539	4905	BEBB	0
1042	3301	1469	4770	BEBB	0
1043	3289	1457	4746	BEBB	0
1049	3242	1445	4687	BEBB	0
1055	3377	1604	4981	BEBB	0
1065	3392	1598	4990	BEBB	0
1066	3434	1679	5113	BEBB	0
1073	3478	1511	4989	BEBB	0
1077	3455	1657	5112	BEBB	0
1081	3365	1646	5011	BEBB	0
1085	3308	1510	4818	BEBB	0
1086	3249	1461	4710	BEBB	0
1088	3369	1640	5009	BEBB	0
1093	3302	1583	4885	BEBB	0
1096	3316	1469	4785	BEBB	0
1098	3407	1676	5083	BEBB	0
1100	3408	1661	5069	BEBB	0
1113	3349	1617	4966	BEBB	0
1114	3327	1651	4978	BEBB	0
1118	3348	1588	4936	BEBB	0
1130	3266	1473	4739	BEBB	0
1134	3443	1575	5018	BEBB	0
1136	3465	1626	5091	BEBB	0
1137	3402	1520	4922	BEBB	0
1142	3248	1600	4848	BEBB	0
1145	3394	1597	4991	BEBB	0
1146	3310	1534	4844	BEBB	0
1147	3452	1557	5009	BEBB	0
1151	3344	1608	4952	BEBB	0
1152	3279	1503	4782	BEBB	0
1159	3243	1559	4802	BEBB	0
1160	3273	1522	4795	BEBB	0
1171	3334	1455	4789	BEBB	0
1173	3402	1633	5035	BEBB	0
1177	3352	1646	4998	BEBB	0
1178	3399	1674	5073	BEBB	0
1181	3258	1583	4841	BEBB	0
1183	3359	1599	4958	BEBB	0
1190	3374	1628	5002	BEBB	0
1193	3352	1491	4843	BEBB	0
1200	3366	1465	4831	BEBB	0
1206	3441	1637	5078	BEBB	0
1210	3240	1664	4904	BEBB	0
1214	3460	1526	4986	BEBB	0
1215	3470	1637	5107	BEBB	0
1216	3351	1481	4832	BEBB	0
1217	3379	1520	4899	BEBB	0
1218	3246	1584	4830	BEBB	0
1223	3384	1667	5051	BEBB	0
1226	3261	1644	4905	BEBB	0
1230	3368	1486	4854	BEBB	0
1233	3310	1614	4924	BEBB	0
1240	3407	1454	4861	BEBB	0
1242	3461	1668	5129	BEBB	0
1247	3347	1658	5005	BEBB	0
1248	3270	1601	4871	BEBB	0
1249	3345	1590	4935	BEBB	0
1250	3245	1524	4769	BEBB	0
1254	3393	1490	4883	BEBB	0
1264	3410	1540	4950	BEBB	0
1267	3431	1541	4972	BEBB	0
1271	3469	1642	5111	BEBB	0
1272	3467	1592	5059	BEBB	0
1276	3431	1579	5010	BEBB	0
1278	3279	1618	4897	BEBB	0
1279	3396	1534	4930	BEBB	0
1289	3464	1606	5070	BEBB	0
1291	3309	1510	4819	BEBB	0
1295	3288	1461	4749	BEBB	0
1297	3373	1516	4889	BEBB	0
1299	3328	1671	4999	BEBB	0
1303	3431	1463	4894	BEBB	0
1304	3391	1651	5042	BEBB	0
1305	3386	1468	4854	BEBB	0
1308	3303	1594	4897	BEBB	0
1309	3408	1650	5058	BEBB	0
1311	3443	1500	4943	BEBB	0
1314	3463	1643	5106	BEBB	0
1316	3271	1512	4783	BEBB	0
1319	3380	1482	4862	BEBB	0
1321	3397	1535	4932	BEBB	0
1323	3387	1515	4902	BEBB	0
1330	3259	1540	4799	BEBB	0
1335	3321	1489	4810	BEBB	0
1342	3357	1526	4883	BEBB	0
1345	3445	1470	4915	BEBB	0
1346	3455	1610	5065	BEBB	0
1353	3412	1452	4864	BEBB	0
1354	3387	1622	5009	BEBB	0
1360	3293	1619	4912	BEBB	0
1361	3302	1481	4783	BEBB	0
1371	3305	1611	4916	BEBB	0
1376	3432	1536	4968	BEBB	0
1378	3446	1597	5043	BEBB	0
1380	3470	1609	5079	BEBB	0
1381	3440	1664	5104	BEBB	0
1384	3324	1647	4971	BEBB	0
1390	3376	1619	4995	BEBB	0
1394	3248	1442	4690	BEBB	0
1395	3340	1613	4953	BEBB	0
1401	3347	1505	4852	BEBB	0
1403	3412	1553	4965	BEBB	0
1405	3287	1636	4923	BEBB	0
1406	3240	1629	4869	BEBB	0
1409	3389	1564	4953	BEBB	0
1411	3402	1504	4906	BEBB	0
1418	3444	1562	5006	BEBB	0
1428	3412	1555	4967	BEBB	0
1430	3251	1557	4808	BEBB	0
1433	3426	1459	4885	BEBB	0
1434	3400	1502	4902	BEBB	0
1435	3469	1657	5126	BEBB	0
1441	3275	1593	4868	BEBB	0
1447	3289	1645	4934	BEBB	0
1449	3279	1536	4815	BEBB	0
1450	3313	1604	4917	BEBB	0
1451	3334	1611	4945	BEBB	0
1453	3381	1482	4863	BEBB	0
1457	3250	1669	4919	BEBB	0
1460	3281	1630	4911	BEBB	0
1475	3344	1643	4987	BEBB	0
1481	3459	1568	5027	BEBB	0
1483	3433	1507	4940	BEBB	0
1487	3336	1585	4921	BEBB	0
1489	3302	1465	4767	BEBB	0
1495	3387	1655	5042	BEBB	0
1500	3459	1495	4954	BEBB	0
1511	3260	1485	4745	BEBB	0
1512	3458	1515	4973	BEBB	0
1529	3479	1561	5040	BEBB	0
1530	3427	1496	4923	BEBB	0
1531	3278	1468	4746	BEBB	0
