dorsal	mu_p	mu_b	total	name	label
1000	3446	2383	5829	BEMB	2
1002	3353	2186	5539	BEMB	2
1003	3299	2262	5561	BEMB	2
1004	3291	2208	5499	BEMB	2
1005	3475	2353	5828	BEMB	2
1010	3288	2191	5479	BEMB	2
1014	3261	2292	5553	BEMB	2
1018	3374	2210	5584	BEMB	2
1029	3290	2355	5645	BEMB	2
1030	3338	2376	5714	BEMB	2
1032	3267	2161	5428	BEMB	2
1037	3429	2296	5725	BEMB	2
1038	3314	2317	5631	BEMB	2
1044	3249	2168	5417	BEMB	2
1048	3316	2353	5669	BEMB	2
1051	3460	2301	5761	BEMB	2
1052	3354	2177	5531	BEMB	2
1056	3426	2236	5662	BEMB	2
1058	3364	2309	5673	BEMB	2
1059	3275	2231	5506	BEMB	2
1061	3329	2290	5619	BEMB	2
1063	3443	2190	5633	BEMB	2
1070	3391	2348	5739	BEMB	2
1078	3272	2301	5573	BEMB	2
1083	3367	2208	5575	BEMB	2
1084	3273	2393	5666	BEMB	2
1099	3361	2339	5700	BEMB	2
1101	3326	2363	5689	BEMB	2
1111	3316	2298	5614	BEMB	2
1119	3405	2314	5719	BEMB	2
1124	3424	2234	5658	BEMB	2
1126	3336	2353	5689	BEMB	2
1127	3248	2247	5495	BEMB	2
1131	3461	2314	5775	BEMB	2
1139	3432	2257	5689	BEMB	2
1166	3401	2325	5726	BEMB	2
1170	3365	2234	5599	BEMB	2
1179	3258	2209	5467	BEMB	2
1191	3245	2276	5521	BEMB	2
1192	3319	2317	5636	BEMB	2
1196	3263	2328	5591	BEMB	2
1197	3342	2317	5659	BEMB	2
1199	3344	2241	5585	BEMB	2
1204	3400	2236	5636	BEMB	2
1205	3479	2357	5836	BEMB	2
1207	3244	2333	5577	BEMB	2
1222	3273	2330	5603	BEMB	2
1225	3467	2346	5813	BEMB	2
1228	3363	2339	5702	BEMB	2
1234	3389	2313	5702	BEMB	2
1235	3289	2230	5519	BEMB	2
1236	3256	2280	5536	BEMB	2
1239	3415	2336	5751	BEMB	2
1245	3297	2214	5511	BEMB	2
1246	3318	2343	5661	BEMB	2
1255	3270	2251	5521	BEMB	2
1259	3422	2308	5730	BEMB	2
1261	3374	2295	5669	BEMB	2
1266	3429	2211	5640	BEMB	2
1269	3263	2228	5491	BEMB	2
1273	3415	2220	5635	BEMB	2
1275	3277	2264	5541	BEMB	2
1277	3245	2272	5517	BEMB	2
1281	3363	2256	5619	BEMB	2
1282	3307	2192	5499	BEMB	2
1296	3411	2166	5577	BEMB	2
1302	3288	2316	5604	BEMB	2
1306	3337	2249	5586	BEMB	2
1312	3339	2300	5639	BEMB	2
1320	3323	2315	5638	BEMB	2
1322	3340	2334	5674	BEMB	2
1325	3430	2189	5619	BEMB	2
1326	3464	2214	5678	BEMB	2
1329	3240	2189	5429	BEMB	2
1334	3345	2228	5573	BEMB	2
1336	3344	2324	5668	BEMB	2
1337	3346	2330	5676	BEMB	2
1348	3412	2236	5648	BEMB	2
1350	3314	2337	5651	BEMB	2
1357	3401	2349	5750	BEMB	2
1364	3436	2206	5642	BEMB	2
1373	3394	2246	5640	BEMB	2
1374	3433	2163	5596	BEMB	2
1377	3401	2383	5784	BEMB	2
1379	3457	2242	5699	BEMB	2
1385	3385	2271	5656	BEMB	2
1388	3431	2187	5618	BEMB	2
1389	3319	2209	5528	BEMB	2
1396	3299	2264	5563	BEMB	2
1402	3468	2189	5657	BEMB	2
1412	3325	2391	5716	BEMB	2
1414	3471	2386	5857	BEMB	2
1419	3280	2332	5612	BEMB	2
1422	3248	2269	5517	BEMB	2
1426	3322	2161	5483	BEMB	2
1427	3424	2209	5633	BEMB	2
1429	3361	2191	5552	BEMB	2
1431	3470	2388	5858	BEMB	2
1436	3277	2238	5515	BEMB	2
1442	3279	2367	5646	BEMB	2
1443	3399	2322	5721	BEMB	2
1445	3475	2221	5696	BEMB	2
1446	3433	2368	5801	BEMB	2
1454	3302	2211	5513	BEMB	2
1455	3401	2180	5581	BEMB	2
1461	3422	2325	5747	BEMB	2
1463	3315	2248	5563	BEMB	2
1468	3312	2175	5487	BEMB	2
1471	3408	2302	5710	BEMB	2
1473	3478	2365	5843	BEMB	2
1477	3461	2171	5632	BEMB	2
1478	3330	2258	5588	BEMB	2
1479	3460	2224	5684	BEMB	2
1485	3406	2346	5752	BEMB	2
1488	3285	2167	5452	BEMB	2
1491	3434	2322	5756	BEMB	2
1492	3457	2297	5754	BEMB	2
1493	3358	2290	5648	BEMB	2
1498	3267	2319	5586	BEMB	2
1506	3354	2299	5653	BEMB	2
1508	3279	2378	5657	BEMB	2
1513	3279	2368	5647	BEMB	2
1534	3411	2162	5573	BEMB	2
1535	3448	2221	5669	BEMB	2
1541	3392	2396	5788	BEMB	2
1543	3374	2215	5589	BEMB	2
1555	3288	2337	5625	BEMB	2
1556	3370	2315	5685	BEMB	2
1562	3311	2280	5591	BEMB	2
1564	3280	2270	5550	BEMB	2
1565	3264	2213	5477	BEMB	2
1572	3324	2285	5609	BEMB	2
1576	3359	2340	5699	BEMB	2
1577	3453	2310	5763	BEMB	2
1591	3385	2335	5720	BEMB	2
1592	3432	2352	5784	BEMB	2
1593	3366	2241	5607	BEMB	2
1594	3342	2247	5589	BEMB	2
1600	3268	2340	5608	BEMB	2
1604	3347	2377	5724	BEMB	2
1605	3462	2288	5750	BEMB	2
1609	3326	2207	5533	BEMB	2
1610	3295	2233	5528	BEMB	2
1614	3383	2180	5563	BEMB	2
1615	3460	2300	5760	BEMB	2
1616	3299	2197	5496	BEMB	2
1621	3446	2340	5786	BEMB	2
1626	3374	2263	5637	BEMB	2
1630	3403	2166	5569	BEMB	2
1631	3317	2376	5693	BEMB	2
1635	3272	2316	5588	BEMB	2
1637	3399	2221	5620	BEMB	2
1638	3365	2306	5671	BEMB	2
1641	3377	2311	5688	BEMB	2
1644	3265	2233	5498	BEMB	2
1650	3453	2299	5752	BEMB	2
1657	3296	2395	5691	BEMB	2
1675	3321	2261	5582	BEMB	2
1677	3297	2235	5532	BEMB	2
1678	3295	2254	5549	BEMB	2
1682	3476	2259	5735	BEMB	2
1683	3270	2288	5558	BEMB	2
1691	3281	2229	5510	BEMB	2
1694	3403	2283	5686	BEMB	2
1699	3446	2365	5811	BEMB	2
1700	3400	2353	5753	BEMB	2
1701	3396	2209	5605	BEMB	2
1704	3439	2224	5663	BEMB	2
1706	3391	2254	5645	BEMB	2
1707	3438	2289	5727	BEMB	2
1709	3333	2239	5572	BEMB	2
1714	3366	2187	5553	BEMB	2
1717	3448	2356	5804	BEMB	2
1721	3292	2171	5463	BEMB	2
1729	3305	2200	5505	BEMB	2
1732	3309	2265	5574	BEMB	2
1737	3373	2359	5732	BEMB	2
1739	3390	2314	5704	BEMB	2
1743	3379	2209	5588	BEMB	2
1746	3295	2241	5536	BEMB	2
1753	3344	2283	5627	BEMB	2
1754	3271	2371	5642	BEMB	2
1755	3312	2317	5629	BEMB	2
1765	3388	2281	5669	BEMB	2
1771	3364	2363	5727	BEMB	2
1775	3388	2160	5548	BEMB	2
1789	3472	2353	5825	BEMB	2
1793	3247	2239	5486	BEMB	2
1798	3434	2279	5713	BEMB	2
1803	3381	2266	5647	BEMB	2
1805	3339	2174	5513	BEMB	2
1808	3298	2190	5488	BEMB	2
1810	3303	2194	5497	BEMB	2
1811	3300	2361	5661	BEMB	2
1814	3377	2376	5753	BEMB	2
1817	3396	2348	5744	BEMB	2
1819	3454	2220	5674	BEMB	2
1820	3366	2275	5641	BEMB	2
1822	3369	2336	5705	BEMB	2
1826	3388	2229	5617	BEMB	2
1827	3458	2319	5777	BEMB	2
1828	3376	2288	5664	BEMB	2
1831	3439	2199	5638	BEMB	2
1839	3298	2294	5592	BEMB	2
1858	3403	2165	5568	BEMB	2
1863	3361	2251	5612	BEMB	2
1864	3372	2185	5557	BEMB	2
1867	3419	2257	5676	BEMB	2
1871	3344	2287	5631	BEMB	2
