dorsal	mu_p	mu_b	total	name	label
1001	4378	1677	6055	MEBB	3
1009	4304	1462	5766	MEBB	3
1013	4505	1476	5981	MEBB	3
1017	4374	1580	5954	MEBB	3
1027	4405	1634	6039	MEBB	3
1028	4272	1644	5916	MEBB	3
1034	4348	1463	5811	MEBB	3
1041	4333	1524	5857	MEBB	3
1045	4368	1601	5969	MEBB	3
1047	4391	1590	5981	MEBB	3
1050	4492	1621	6113	MEBB	3
1054	4505	1625	6130	MEBB	3
1060	4382	1537	5919	MEBB	3
1062	4484	1648	6132	MEBB	3
1068	4325	1448	5773	MEBB	3
1082	4361	1576	5937	MEBB	3
1089	4477	1629	6106	MEBB	3
1091	4482	1618	6100	MEBB	3
1094	4397	1463	5860	MEBB	3
1095	4478	1463	5941	MEBB	3
1097	4293	1492	5785	MEBB	3
1104	4331	1536	5867	MEBB	3
1108	4494	1662	6156	MEBB	3
1109	4347	1658	6005	MEBB	3
1110	4377	1511	5888	MEBB	3
1115	4409	1539	5948	MEBB	3
1116	4406	1457	5863	MEBB	3
1122	4399	1676	6075	MEBB	3
1123	4298	1466	5764	MEBB	3
1125	4501	1634	6135	MEBB	3
1133	4405	1499	5904	MEBB	3
1135	4501	1541	6042	MEBB	3
1138	4348	1508	5856	MEBB	3
1140	4491	1568	6059	MEBB	3
1141	4490	1598	6088	MEBB	3
1143	4320	1629	5949	MEBB	3
1144	4303	1665	5968	MEBB	3
1150	4387	1591	5978	MEBB	3
1154	4464	1530	5994	MEBB	3
1155	4399	1673	6072	MEBB	3
1156	4394	1661	6055	MEBB	3
1157	4361	1463	5824	MEBB	3
1158	4480	1611	6091	MEBB	3
1162	4380	1630	6010	MEBB	3
1163	4398	1512	5910	MEBB	3
1164	4447	1510	5957	MEBB	3
1165	4300	1631	5931	MEBB	3
1167	4399	1546	5945	MEBB	3
1169	4341	1578	5919	MEBB	3
1175	4507	1595	6102	MEBB	3
1176	4272	1593	5865	MEBB	3
1182	4379	1638	6017	MEBB	3
1184	4348	1548	5896	MEBB	3
1185	4284	1481	5765	MEBB	3
1187	4459	1572	6031	MEBB	3
1188	4328	1655	5983	MEBB	3
1209	4470	1621	6091	MEBB	3
1211	4372	1542	5914	MEBB	3
1219	4421	1473	5894	MEBB	3
1220	4392	1541	5933	MEBB	3
1231	4483	1479	5962	MEBB	3
1232	4497	1641	6138	MEBB	3
1244	4272	1466	5738	MEBB	3
1251	4409	1593	6002	MEBB	3
1253	4284	1599	5883	MEBB	3
1256	4444	1456	5900	MEBB	3
1260	4295	1491	5786	MEBB	3
