dorsal	mu_p	mu_b	total	name	label
1007	4385	2320	6705	MEMB	1
1008	4410	2364	6774	MEMB	1
1012	4304	2285	6589	MEMB	1
1015	4430	2275	6705	MEMB	1
1019	4430	2210	6640	MEMB	1
1020	4354	2315	6669	MEMB	1
1021	4318	2266	6584	MEMB	1
1023	4475	2388	6863	MEMB	1
1031	4442	2287	6729	MEMB	1
1033	4349	2230	6579	MEMB	1
1039	4492	2370	6862	MEMB	1
1046	4368	2285	6653	MEMB	1
1053	4308	2307	6615	MEMB	1
1057	4498	2202	6700	MEMB	1
1064	4296	2314	6610	MEMB	1
1067	4484	2362	6846	MEMB	1
1069	4271	2165	6436	MEMB	1
1071	4470	2223	6693	MEMB	1
1072	4500	2201	6701	MEMB	1
1074	4428	2219	6647	MEMB	1
1075	4498	2204	6702	MEMB	1
1076	4470	2203	6673	MEMB	1
1079	4450	2308	6758	MEMB	1
1080	4292	2182	6474	MEMB	1
1087	4385	2165	6550	MEMB	1
1090	4494	2301	6795	MEMB	1
1092	4371	2180	6551	MEMB	1
1102	4342	2294	6636	MEMB	1
1103	4374	2230	6604	MEMB	1
1105	4383	2373	6756	MEMB	1
1106	4278	2219	6497	MEMB	1
1107	4377	2339	6716	MEMB	1
1112	4497	2164	6661	MEMB	1
1117	4371	2276	6647	MEMB	1
1120	4468	2208	6676	MEMB	1
1121	4434	2312	6746	MEMB	1
1128	4345	2324	6669	MEMB	1
1129	4450	2346	6796	MEMB	1
1132	4369	2371	6740	MEMB	1
1148	4396	2228	6624	MEMB	1
1149	4315	2193	6508	MEMB	1
1153	4284	2226	6510	MEMB	1
1161	4298	2365	6663	MEMB	1
1168	4406	2392	6798	MEMB	1
1172	4335	2294	6629	MEMB	1
1174	4341	2277	6618	MEMB	1
1180	4359	2239	6598	MEMB	1
1186	4420	2395	6815	MEMB	1
1189	4298	2382	6680	MEMB	1
1194	4296	2295	6591	MEMB	1
1195	4500	2226	6726	MEMB	1
1198	4457	2362	6819	MEMB	1
1201	4491	2173	6664	MEMB	1
1202	4342	2189	6531	MEMB	1
1203	4408	2319	6727	MEMB	1
1208	4308	2223	6531	MEMB	1
1212	4462	2166	6628	MEMB	1
1213	4289	2256	6545	MEMB	1
1221	4396	2321	6717	MEMB	1
1224	4330	2398	6728	MEMB	1
1227	4360	2312	6672	MEMB	1
1229	4316	2213	6529	MEMB	1
1237	4501	2176	6677	MEMB	1
1238	4406	2248	6654	MEMB	1
1241	4288	2237	6525	MEMB	1
1243	4333	2232	6565	MEMB	1
1252	4290	2393	6683	MEMB	1
1257	4438	2266	6704	MEMB	1
1258	4424	2305	6729	MEMB	1
1268	4406	2273	6679	MEMB	1
1280	4380	2240	6620	MEMB	1
1283	4357	2372	6729	MEMB	1
1284	4413	2269	6682	MEMB	1
1285	4297	2239	6536	MEMB	1
1290	4410	2278	6688	MEMB	1
1293	4276	2318	6594	MEMB	1
1298	4354	2219	6573	MEMB	1
1301	4465	2214	6679	MEMB	1
1313	4306	2331	6637	MEMB	1
1318	4401	2239	6640	MEMB	1
1327	4397	2344	6741	MEMB	1
1331	4503	2333	6836	MEMB	1
1339	4376	2268	6644	MEMB	1
1340	4468	2253	6721	MEMB	1
1341	4283	2162	6445	MEMB	1
1347	4427	2358	6785	MEMB	1
1349	4450	2367	6817	MEMB	1
1352	4507	2284	6791	MEMB	1
1355	4282	2310	6592	MEMB	1
1356	4348	2196	6544	MEMB	1
1358	4455	2262	6717	MEMB	1
1359	4446	2232	6678	MEMB	1
1363	4403	2390	6793	MEMB	1
1366	4343	2383	6726	MEMB	1
1367	4337	2257	6594	MEMB	1
1369	4462	2193	6655	MEMB	1
1370	4505	2210	6715	MEMB	1
1372	4348	2237	6585	MEMB	1
1375	4332	2175	6507	MEMB	1
1383	4436	2301	6737	MEMB	1
1387	4313	2287	6600	MEMB	1
1393	4307	2326	6633	MEMB	1
1397	4478	2195	6673	MEMB	1
1400	4472	2298	6770	MEMB	1
1404	4410	2260	6670	MEMB	1
1408	4297	2223	6520	MEMB	1
1413	4471	2261	6732	MEMB	1
1415	4442	2207	6649	MEMB	1
1416	4306	2257	6563	MEMB	1
1417	4435	2213	6648	MEMB	1
1421	4317	2167	6484	MEMB	1
1423	4315	2358	6673	MEMB	1
1424	4312	2257	6569	MEMB	1
1425	4285	2174	6459	MEMB	1
1438	4387	2160	6547	MEMB	1
1444	4438	2338	6776	MEMB	1
1452	4291	2286	6577	MEMB	1
1459	4381	2207	6588	MEMB	1
1467	4369	2263	6632	MEMB	1
1470	4302	2378	6680	MEMB	1
1480	4327	2183	6510	MEMB	1
1482	4443	2326	6769	MEMB	1
1484	4452	2176	6628	MEMB	1
1490	4288	2301	6589	MEMB	1
1503	4292	2162	6454	MEMB	1
1505	4314	2359	6673	MEMB	1
1510	4427	2380	6807	MEMB	1
1516	4460	2342	6802	MEMB	1
1517	4411	2314	6725	MEMB	1
1518	4428	2284	6712	MEMB	1
1519	4452	2355	6807	MEMB	1
1521	4494	2172	6666	MEMB	1
1524	4367	2350	6717	MEMB	1
1525	4277	2383	6660	MEMB	1
1528	4308	2219	6527	MEMB	1
1538	4411	2312	6723	MEMB	1
1539	4460	2170	6630	MEMB	1
1545	4426	2204	6630	MEMB	1
1546	4364	2160	6524	MEMB	1
1550	4473	2323	6796	MEMB	1
1554	4356	2253	6609	MEMB	1
1560	4409	2225	6634	MEMB	1
1561	4309	2254	6563	MEMB	1
1568	4379	2276	6655	MEMB	1
1570	4416	2269	6685	MEMB	1
1579	4389	2186	6575	MEMB	1
1582	4309	2356	6665	MEMB	1
1587	4408	2179	6587	MEMB	1
1596	4499	2390	6889	MEMB	1
1602	4445	2369	6814	MEMB	1
1612	4410	2165	6575	MEMB	1
1619	4284	2238	6522	MEMB	1
1620	4268	2279	6547	MEMB	1
1622	4500	2355	6855	MEMB	1
1623	4469	2333	6802	MEMB	1
1629	4444	2165	6609	MEMB	1
1634	4349	2284	6633	MEMB	1
1639	4356	2268	6624	MEMB	1
1640	4391	2345	6736	MEMB	1
1651	4423	2291	6714	MEMB	1
1653	4433	2290	6723	MEMB	1
1655	4453	2231	6684	MEMB	1
1656	4472	2341	6813	MEMB	1
1658	4494	2222	6716	MEMB	1
1660	4392	2339	6731	MEMB	1
1663	4454	2228	6682	MEMB	1
1676	4377	2359	6736	MEMB	1
1680	4308	2195	6503	MEMB	1
1685	4401	2397	6798	MEMB	1
1686	4418	2296	6714	MEMB	1
1698	4449	2206	6655	MEMB	1
1703	4287	2376	6663	MEMB	1
1710	4323	2161	6484	MEMB	1
1712	4276	2282	6558	MEMB	1
1716	4463	2293	6756	MEMB	1
1719	4440	2325	6765	MEMB	1
1722	4490	2243	6733	MEMB	1
1726	4431	2313	6744	MEMB	1
1727	4373	2313	6686	MEMB	1
1730	4400	2178	6578	MEMB	1
1740	4348	2342	6690	MEMB	1
1741	4395	2304	6699	MEMB	1
1744	4467	2265	6732	MEMB	1
1745	4407	2238	6645	MEMB	1
1751	4504	2360	6864	MEMB	1
1759	4284	2202	6486	MEMB	1
1760	4329	2211	6540	MEMB	1
1761	4398	2300	6698	MEMB	1
1763	4341	2288	6629	MEMB	1
1767	4286	2330	6616	MEMB	1
1768	4423	2211	6634	MEMB	1
1770	4334	2273	6607	MEMB	1
1777	4466	2355	6821	MEMB	1
1779	4461	2357	6818	MEMB	1
1781	4329	2186	6515	MEMB	1
1784	4314	2181	6495	MEMB	1
1786	4329	2359	6688	MEMB	1
1787	4294	2196	6490	MEMB	1
1790	4481	2288	6769	MEMB	1
1791	4343	2276	6619	MEMB	1
1792	4390	2364	6754	MEMB	1
1795	4478	2355	6833	MEMB	1
1804	4446	2363	6809	MEMB	1
1807	4360	2179	6539	MEMB	1
1812	4294	2311	6605	MEMB	1
1824	4288	2278	6566	MEMB	1
1825	4489	2372	6861	MEMB	1
1834	4386	2393	6779	MEMB	1
1835	4396	2370	6766	MEMB	1
1842	4322	2356	6678	MEMB	1
1847	4400	2194	6594	MEMB	1
1851	4411	2276	6687	MEMB	1
1854	4449	2328	6777	MEMB	1
1859	4377	2228	6605	MEMB	1
1860	4301	2281	6582	MEMB	1
1866	4484	2192	6676	MEMB	1
1868	4312	2291	6603	MEMB	1
1872	4448	2175	6623	MEMB	1
